ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1653589870,1727719581,1727719581471,1727719581,1727719581473,0,0,0,1,4,0,1653511294,0,5,0.02,0.0,2634.8,0.0,0.0,2634.8,0.0,XAUUSDm,[tp 2634.800],
1653589871,1727719581,1727719581471,1727719581,1727719581474,0,0,0,1,4,0,1653511864,0,5,0.02,0.0,2634.8,0.0,0.0,2634.8,0.0,XAUUSDm,[tp 2634.800],
1653589872,1727719581,1727719581471,1727719581,1727719581475,0,0,0,1,4,0,1653512396,0,5,0.02,0.0,2634.8,0.0,0.0,2634.8,0.0,XAUUSDm,[tp 2634.800],
1653589873,1727719581,1727719581471,1727719581,1727719581475,0,0,0,1,4,0,1653513157,0,5,0.02,0.0,2634.8,0.0,0.0,2634.8,0.0,XAUUSDm,[tp 2634.800],
1653589874,1727719581,1727719581471,1727719581,1727719581476,0,0,0,1,4,0,1653562833,0,5,0.02,0.0,2634.8,0.0,0.0,2634.8,0.0,XAUUSDm,[tp 2634.800],
1653590075,1727719582,1727719582294,1727719582,1727719582297,0,0,0,1,4,0,1653510222,0,5,0.02,0.0,2634.5,0.0,0.0,2634.5,0.0,XAUUSDm,[tp 2634.500],
1654024584,1727736562,1727736562280,1728397819,1728397819455,0,2,0,2,2,0,0,0,1,0.02,0.02,2625.8,2623.4,0.0,2625.614,0.0,XAUUSDm,no money,
1654024674,1727736576,1727736576210,1728397631,1728397631810,0,2,0,2,2,0,0,0,1,0.02,0.02,2626.8,2623.4,0.0,2626.746,0.0,XAUUSDm,no money,
1654024812,1727736595,1727736595720,1728397819,1728397819459,0,2,0,2,2,0,0,0,1,0.02,0.02,2625.8,2623.4,0.0,2625.614,0.0,XAUUSDm,no money,
1654121886,1727743555,1727743555715,1727743657,1727743657847,0,3,0,2,2,0,0,0,1,0.02,0.02,2650.4,2653.8,0.0,2636.239,0.0,XAUUSDm,,
1654122175,1727743571,1727743571037,1727743661,1727743661487,0,3,0,2,2,0,0,0,1,0.02,0.02,2649.4,2653.8,0.0,2636.1,0.0,XAUUSDm,,
